Year,Month,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Region
2015,April,9.299724139,6.626666667,7.703333333,8.710000001,27.78607143,33.00166667,24.48333333,8.008333333,30.11333334,North
2015,April,5.716666667,3.366666667,4.133333333,4.44,28.49666667,33.74,25.54333333,9.9,33.62333333,North-East
2015,April,4.506666667,3.015555556,3.591111111,4.32,28.35333333,31.19333333,26.23666667,7.533333333,32.41333333,South-East
2015,April,5.775555555,4.4,5.128888889,5.293333333,28.71,32.26,26.21333333,8.476666667,35.05333333,South-West
2015,April,8.246222222,5.986190476,6.997619048,7.490238095,27.99444445,32.78722222,25.01222222,5.975555556,30.29277778,West
2015,May,5.175806452,3.275806452,4.230645161,4.732258065,28.54677419,32.21451613,26.16774194,6.358064516,30.07741936,Central
2015,May,5.458064516,3.325806452,4.183870968,4.941935484,29.36451613,32.90645161,26.96129032,4.325806452,26.22903226,Central Business District and Surrounding
2015,May,5.614746544,3.328494624,4.264516129,4.730107527,29.01935484,32.48817204,26.58172043,8.092473118,31.99139785,East
2015,May,4.733333333,3.234408602,3.823655914,4.304301075,28.49354839,31.70322581,26.43655914,8.58064516,30.37311828,Islands
2015,May,6.266203474,3.522394541,4.365384615,5.064640198,28.13387097,32.32096775,25.08225806,6.35483871,28.93887097,North
2015,May,6.370967742,3.767741935,4.529032258,4.929032258,28.79354839,33.29354839,26.11612903,8.874193548,31.28064516,North-East
2015,May,3.720430108,2.397849462,3.083870968,3.415053764,28.76774194,30.46129032,26.92903226,10.87419355,35.53548387,South-East
2015,May,4.529032258,2.896774193,3.793548387,4.12688172,29.29032258,31.70967742,27.22258065,9.022580645,29.90645161,South-West
2015,May,6.009447005,3.622332506,4.675682382,5.37617866,28.60034409,31.94258064,26.02451613,7.24,28.51806452,West
2015,June,1.157777778,0.744444444,0.81037037,0.88,28.70333333,31.88166667,26.56666667,7.076666667,30.65166667,Central
2015,June,1.7,1.196666667,1.296666667,1.333333334,29.47666667,32.75333333,27.2,4.796666667,22.58,Central Business District and Surrounding
2015,June,1.612857143,0.948888889,1.119444445,1.272777778,29.25833333,32.35444444,27.03666666,9.447777778,32.13222222,East
2015,June,2.396666667,1.292222222,1.674444445,1.995555555,28.68555556,31.60888889,26.64444444,9.652222222,29.76555556,Islands
2015,June,3.121333333,2.576666667,3.115,3.263333333,28.55137931,32.41,25.4,7.76,29.90166667,North
2015,June,2.978333334,2.14,2.34,2.466666667,29.33333333,33.66333333,26.68333333,10.73333333,31.69,North-East
2015,June,1.335555556,0.884444445,1.042222222,1.115555556,29.04333333,30.57333333,27.38333333,13.02666667,34.52333333,South-East
2015,June,2.866666667,1.913333333,2.148888889,2.424444444,29.34,31.56666667,27.47,9.896666667,30.47666667,South-West
2015,June,3.558819923,2.289285714,2.842857143,3.103809524,28.60357143,31.87333333,26.1,7.74375479,29.63438697,West
2015,July,2.610800478,2.073476703,2.340860215,2.558064516,28.81612903,31.86451613,26.45645162,8.472580645,35.86451613,Central
2015,July,3.339016897,1.977419355,2.377419355,2.677419355,29.45,32.66666667,27.0625,5.4,23.64583333,Central Business District and Surrounding
2015,July,3.176036866,2.49139785,2.919354839,3.048387097,29.33225806,32.26881721,26.87204301,10.66774194,35.92258065,East
2015,July,2.756989248,2.313978495,2.488172043,2.580645161,28.72473119,31.80967742,26.33548387,10.48172043,34.7827957,Islands
2015,July,5.645806452,4.343548387,5.037096775,5.433870968,28.70994624,32.48870968,25.31451613,8.714516131,37.3483871,North
2015,July,3.235483871,2.903225806,3.129032258,3.270967742,29.45483871,33.44193548,26.57096774,12.00322581,35.62333333,North-East
2015,July,1.853763441,1.51827957,1.661290323,1.796774194,29.04193548,30.47096774,27.05806452,15.74516129,40.00967742,South-East
2015,July,2.030394265,1.612903226,1.756989248,1.944086022,29.44193548,31.70967742,27.4483871,10.68387097,34.53225806,South-West
2015,July,3.016344086,2.342626728,2.620737327,2.832488479,28.77945866,32.01451613,26.1139785,8.561290322,34.00215054,West
2015,August,5.329032258,3.816845878,4.235125448,4.559498208,28.13225807,31.25322581,25.71935484,8.267741936,34.4,Central
2015,August,5.783870968,4.090322581,4.693548387,5.083870967,28.82580645,32.21612903,26.17419355,5.1,25.60967742,Central Business District and Surrounding
2015,August,6.180645161,4.132258065,5.15483871,5.622580645,28.65645162,31.70537634,26.1688172,9.987096774,33.54946237,East
2015,August,5.351382488,3.204608295,4.151766513,4.62235023,28.01213518,31.03247312,25.7140553,10.82530722,37.2155914,Islands
2015,August,3.466451613,2.516129032,2.969354839,3.177419355,28.18615128,31.90645161,25.07741936,8.333870968,31.64650538,North
2015,August,4.167741936,3.238709677,4.24516129,4.780645161,28.72903226,32.66774194,26.06451613,11.6483871,34.16774194,North-East
2015,August,4.413154122,2.795197133,3.326487455,3.739462366,28.49032258,30.03548387,26.56774194,14.65806452,36.94516129,South-East
2015,August,6.617204301,4.778494624,5.230107527,5.649462366,28.70322581,31.03870968,26.44193548,10.43548387,34.53870968,South-West
2015,August,4.910967742,3.446313364,3.977419355,4.324423963,28.1062724,31.40483871,25.4672043,8.019892473,32.56989247,West
2015,September,4.074074074,2.438518519,2.908148148,3.268888889,28.40333334,31.66166667,26.31333334,7.561666667,31.71166667,Central
2015,September,2.143333333,1.303333334,1.516666667,1.756666667,29.17333333,32.62333333,27.01,4.9,23.81333333,Central Business District and Surrounding
2015,September,2.584444444,1.730666667,2.02,2.133333333,28.94,32.13444444,26.76222222,9.341111112,30.50777778,East
2015,September,2.48617284,1.738024691,1.992592593,2.209135802,28.2745679,31.33728395,26.11234568,10.68493827,33.40037037,Islands
2015,September,3.938505747,2.761149425,3.270114942,3.629712644,28.23218391,32.275,24.86,7.771666667,30.64166667,North
2015,September,5.3,2.02,2.286666667,2.38,28.96333333,33.02666667,26.32666667,10.61333333,33.05333333,North-East
2015,September,1.757373737,1.262020202,1.423030303,1.468484848,28.7,30.29,27.03666667,13.01333333,33.97333333,South-East
2015,September,2.884444444,1.922222222,2.46,2.604444444,28.93333333,31.3,27.11666667,9.606666667,30.24333333,South-West
2015,September,4.278,2.845205255,3.563251232,3.96226601,28.25055556,31.59055555,25.58888889,7.368333333,29.55555556,West
2015,October,2.990609319,1.971373955,2.416798089,2.703034648,28.57580645,32.51290323,26.05483871,6.85,29.98870968,Central
2015,October,2.893548387,1.841935484,2.274193549,2.622580645,29.39354839,33.18064516,26.99354839,4.693548387,21.13225806,Central Business District and Surrounding
2015,October,2.257526882,1.580645161,1.748387097,1.913548387,28.99032258,32.77526882,26.37956989,8.067741935,28.7172043,East
2015,October,2.15483871,1.329032258,1.578494623,1.784946236,28.45053763,31.93978494,26.12688172,10.07526882,30.80215054,Islands
2015,October,3.032903226,2.322580645,2.579032258,2.727419355,28.3983871,32.90967742,24.82419355,7.222580645,29.13354838,North
2015,October,2.280645162,1.464516129,1.84516129,2.025806452,29.06129032,33.27741935,26.27096774,9.603225806,34.00967742,North-East
2015,October,1.916129032,1.261290322,1.445161291,1.677419355,28.70322581,30.57741935,26.86451613,10.06451613,30.82258065,South-East
2015,October,2.752688172,1.739784946,2.004301075,2.324731183,29.11290323,31.86451613,26.98387097,8.616129032,27.26129032,South-West
2015,October,3.682566308,2.541781874,3.024239631,3.384761905,28.37017921,32.28168459,25.53770609,6.524731182,28.24363799,West
2015,November,9.001481482,5.611851852,6.858518518,7.720740741,27.51666667,31.93,25,4.591666667,27.49833333,Central
2015,November,6.896666667,4.393333333,5.616666667,6.24,28.68,32.84333333,26.11,5.676666667,26.31666667,Central Business District and Surrounding
2015,November,5.354444445,3.378666667,3.98,4.234666667,28.10833333,32.34111111,25.57555555,6.8,28.78111111,East
