Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Region,Year,Month
1.7537804200700873,1.9824342926276612,1.9511774689471375,2.102846972909252,-0.4842818140094168,-1.2555015116325132,-0.6664117833089657,0.3315957400036833,1.3657874330376183,South-West,2018,11
1.8387038857177878,2.211994233034596,2.086630221708979,2.0923257408397644,-1.064400636977251,-0.3791428284709136,-1.5485746326107737,-1.1251664507620482,-0.9764762354244597,West,2018,11
0.48506479282434556,0.6783336746196814,0.6337116099979627,0.6294370719539415,-1.0559753851841855,0.22256445941977002,-0.882475590816835,-1.234413573993677,-0.7038049343841621,Central,2018,12
-0.2610621623790218,-0.5436227899358597,-0.2813411591264257,-0.14645080037441163,0.07192814453835976,0.6242022314716357,0.4638361254210463,-0.7427054743107985,-1.2953754333023015,Central Business District and Surrounding,2018,12
-0.3636030400112483,-0.46007272911941277,-0.37267045503945584,-0.2955328768983964,-0.03827185981605105,0.3539031976236357,0.060443005215226595,-0.687508551329507,-0.8599718197316553,East,2018,12
0.11434132574099387,0.051424964568100036,0.17101660021337445,0.294659382050831,-0.7858726062703535,0.18360412080178215,-0.5191133050181475,-1.3482461310756584,-1.7009642490671693,Islands,2018,12
0.5086827836774487,0.8037667209568506,0.6796345616250472,0.5530492600437936,-1.1018554611406717,0.17407015849213295,-1.556844709511581,-0.3157035061105718,-0.4319994154249197,North,2018,12
0.6213064187803938,0.10535849519281669,-0.03315703765315136,0.03931667649463085,0.3736292800533454,0.948444863100712,0.06165854891731773,-0.7644902867603446,-0.036011817296834565,North-East,2018,12
-0.5149832471317352,-0.505888185989345,-0.4319186958650909,-0.42426668219621877,-0.45536346412222556,-1.1918527397075362,0.20370411683481263,1.1011453271027938,0.9990021736409371,South-East,2018,12
0.6189442661945748,1.031438840514233,0.8389971523750865,0.7220013119852413,-0.23847583350337104,-0.5048500962537957,0.09039759786773614,1.0388905326256261,1.6145218560650172,South-West,2018,12
0.7071731424388001,1.154597557417101,1.1165985573870867,1.0013916690333515,-0.7699467931174009,0.38069337103329504,-0.9238009033239735,-0.9840105270992705,-1.1842807270648186,West,2018,12
-0.9228481834976071,-1.0162936298834686,-1.035812552893351,-1.052844949877696,-0.6659947330891377,-0.18997388989070593,-0.2925002791960756,-0.4090354921360435,0.4024316095605269,Central,2019,1
-0.5636077418681213,-0.7292965607269244,-0.6695758842068288,-0.6131878001013926,0.3139203006660793,0.3401735118399178,0.6761652349195878,0.5801855746095038,0.5767364716109432,Central Business District and Surrounding,2019,1
-1.2442673501313353,-1.5975772379838713,-1.5421385253510098,-1.4542354981078678,0.3245978400678747,0.1911329628579103,0.38212930968852193,0.8742165626479071,0.4810595657438855,East,2019,1
-0.8579204947273789,-0.9770316723504041,-1.0238305321062895,-1.0415514753069992,-0.2071939476645992,0.289917660372476,-0.2065436146467402,0.4291282534264063,0.49963841534665177,Islands,2019,1
-0.8970093885933716,-1.3062121872307113,-1.2481339650733712,-1.151249676498136,-0.7473275897225178,-0.09621516796938152,-0.8229807838487314,2.0190840571485054,1.5097670836611472,North,2019,1
